,flight_number,origin_station_code,destination_station_code,scheduled_departure_date,arrival_delay_group,departure_delay_group,entity,verbatim_text,seat_factor_band,ques_verbatim_text,loyalty_program_level,fleet_type_description,fleet_usage,response_group,sentiments,transformed_text
5874,4564,ORX,RIX,2022-09-09,Delayed,Early & Ontime,Domestic,A snack would have been nice: pretzels or chips or nuts.,90+,Is there anything else you'd like to share about the food & beverage served on your flight from [CITY] to [CITY]?,non-elite,CRJ-550,Express,member,Neutral,snack would nice pretzel chip nut
5875,1667,SFX,EWX,2022-09-10,Early & Ontime,Early & Ontime,Domestic,"During the flights back home, multiple United planes were out of hot food.",90+,Is there anything else you'd like to share about the food & beverage served on your flight from [CITY] to [CITY]?,non-elite,B777-200,Mainline,member,Neutral,flight back home multipl unit plane hot food
5876,585,PHX,EWX,2022-09-10,Early & Ontime,Early & Ontime,Domestic,couple of things: it should not be up to me to remember my pre-selection;. there was no choice as choice was for frequent flyers.,90+,Is there anything else you'd like to share about the food & beverage served on your flight from [CITY] to [CITY]?,,B737-MAX8,Mainline,non-member,Neutral,coupl thing rememb choic choic frequent flyer
5877,585,PHX,EWX,2022-09-10,Early & Ontime,Early & Ontime,Domestic,"If a customer likes a seltzer plus cranberry, I think both cans should be given. I make my own spritz and want/need the 24oz of fluid. Especially because the second round of drinks was just the cup worth. It is a long flight.",90+,Is there anything else you'd like to share about the food & beverage served on your flight from [CITY] to [CITY]?,premier silver,B737-MAX8,Mainline,member,Neutral,custom like seltzer plu cranberri think can given make spritz 24oz fluid especi second round drink cup worth long flight
5878,1533,EWX,MIX,2022-09-09,Delayed,Early & Ontime,Domestic,Have not got it.,90+,Is there anything else you'd like to share about the food & beverage served on your flight from [CITY] to [CITY]?,premier gold,B737-800,Mainline,member,Neutral,got
5879,2441,ORX,AUX,2022-09-10,Early & Ontime,Early & Ontime,Domestic,It was great to be able to choose. enjoy!.,0 to 70,Is there anything else you'd like to share about the food & beverage served on your flight from [CITY] to [CITY]?,non-elite,A319-100,Mainline,member,Neutral,great abl choos enjoy
5880,1008,SFX,PHX,2022-09-10,Early & Ontime,Early & Ontime,Domestic,no free snacks like a bag of pretzels or peanuts?.,80+,Is there anything else you'd like to share about the food & beverage served on your flight from [CITY] to [CITY]?,non-elite,B737-900,Mainline,member,Neutral,free snack like bag pretzel peanut
5881,6015,PIX,IAX,2022-09-10,Early & Ontime,Early & Ontime,Domestic,A snack would be nice.,90+,Is there anything else you'd like to share about the food & beverage served on your flight from [CITY] to [CITY]?,premier 1k,ERJ-175,Express,member,Neutral,snack would nice
5882,4404,SAX,ORX,2022-09-10,Early & Ontime,Early & Ontime,Domestic,"Same old same old--United needs to up their game with what is offered for lunch/dinner in the first class cabin. Same choices for so long now, and not very good. Again, better experience with American.",90+,Is there anything else you'd like to share about the food & beverage served on your flight from [CITY] to [CITY]?,non-elite,CRJ-550,Express,member,Neutral,old old unit need game offer first class cabin choic long good better experi american
5883,4404,SAX,ORX,2022-09-10,Early & Ontime,Early & Ontime,Domestic,"I ordered coffee, which was really good.",90+,Is there anything else you'd like to share about the food & beverage served on your flight from [CITY] to [CITY]?,non-elite,CRJ-550,Express,member,Neutral,order coffe realli good
5884,424,YYX,DEX,2022-09-10,Early & Ontime,Early & Ontime,Domestic,Just the fact the pilot was the best I have ever had.,70+,Is there anything else you'd like to share about the food & beverage served on your flight from [CITY] to [CITY]?,,B737-800,Mainline,non-member,Neutral,fact pilot best ever
5885,2663,ORX,DEX,2022-09-09,Early & Ontime,Early & Ontime,Domestic,Change the snack box every 6months as it gets old for road warriors. 1K members should get more than 1 complimentary adult beverages.,90+,Is there anything else you'd like to share about the food & beverage served on your flight from [CITY] to [CITY]?,premier 1k,B757-300,Mainline,member,Neutral,chang snack box everi 6month get old road warrior 1k member get 1 complimentari adult beverag
5886,2075,IAX,DEX,2022-09-11,Early & Ontime,Early & Ontime,Domestic,No.,90+,Is there anything else you'd like to share about the food & beverage served on your flight from [CITY] to [CITY]?,premier platinum,B737-900,Mainline,member,Neutral,
5887,5848,IAX,MKX,2022-09-10,Early & Ontime,Early & Ontime,Domestic,Cheese tray or chicken bowl.,0 to 70,Is there anything else you'd like to share about the food & beverage served on your flight from [CITY] to [CITY]?,premier silver,ERJ-175,Express,member,Neutral,chees tray chicken bowl
5888,1266,BTX,ORX,2022-09-11,Early & Ontime,Early & Ontime,Domestic,No snacks were served.,90+,Is there anything else you'd like to share about the food & beverage served on your flight from [CITY] to [CITY]?,,A319-100,Mainline,non-member,Neutral,snack serv
5889,1992,SFX,LAX,2022-09-10,Early & Ontime,Early & Ontime,Domestic,"No, but the food on my flight to London was amazing!.",90+,Is there anything else you'd like to share about the food & beverage served on your flight from [CITY] to [CITY]?,,B737-900,Mainline,non-member,Neutral,food flight london amaz
5890,1454,EWX,LAX,2022-09-11,Delayed,Delayed,Domestic,Vegetarian lunch/Pasta was very bad. You may consider other options or better chefs.,90+,Is there anything else you'd like to share about the food & beverage served on your flight from [CITY] to [CITY]?,non-elite,B777-200,Mainline,member,Neutral,vegetarian bad may consid option better chef
5891,1454,EWX,LAX,2022-09-11,Delayed,Delayed,Domestic,There was no juice selection. Really?!. Not even a snack?!.,90+,Is there anything else you'd like to share about the food & beverage served on your flight from [CITY] to [CITY]?,non-elite,B777-200,Mainline,member,Neutral,juic select realli even snack
5892,1972,SFX,SLX,2022-09-11,Delayed,Delayed,Domestic,I was in first class. I was napping when the snacks were distributed. I was not offered a makeup snack when I woke up. Also it seems like this flight was long enough for something other than a snack.,90+,Is there anything else you'd like to share about the food & beverage served on your flight from [CITY] to [CITY]?,premier silver,A320-200,Mainline,member,Neutral,first class nap snack distribut offer makeup snack woke also seem like flight long enough someth snack
5893,2497,IAX,MCX,2022-09-11,Delayed,Delayed,Domestic,The meal was “ok”. I remember when United meals were tastier.,90+,Is there anything else you'd like to share about the food & beverage served on your flight from [CITY] to [CITY]?,non-elite,B737-900,Mainline,member,Negative,meal ok rememb unit meal tastier
5894,582,DEX,INX,2022-09-11,Delayed,Delayed,Domestic,"I had not flown in several years and was surprised to find inflight meals had to be purchased. Why the change?. Also, to purchase anything on the plane the United app had to be used. Yes, convenient but perhaps not everyone has a smartphone.",90+,Is there anything else you'd like to share about the food & beverage served on your flight from [CITY] to [CITY]?,non-elite,B737-800,Mainline,member,Neutral,flown sever year surpris find inflight meal purchas chang also purchas anyth plane unit app use ye conveni perhap everyon smartphon
5895,4559,EWX,ACX,2022-09-12,Early & Ontime,Early & Ontime,Domestic,There was no service on this flight. Too short.,90+,Is there anything else you'd like to share about the food & beverage served on your flight from [CITY] to [CITY]?,non-elite,CRJ-550,Express,member,Neutral,servic flight short
5896,2283,SAX,IAX,2022-09-12,Delayed,Early & Ontime,Domestic,Wine was sub par for the usual basic red wine served.,90+,Is there anything else you'd like to share about the food & beverage served on your flight from [CITY] to [CITY]?,premier 1k,B737-900,Mainline,member,Neutral,wine sub par usual basic red wine serv
5897,1169,SFX,YYX,2022-09-12,Early & Ontime,Early & Ontime,Domestic,Beverages were served a little late.,70+,Is there anything else you'd like to share about the food & beverage served on your flight from [CITY] to [CITY]?,non-elite,B737-MAX8,Mainline,member,Neutral,beverag serv littl late
5898,1561,SJX,EWX,2022-09-12,Early & Ontime,Early & Ontime,Latin,Offer more frequently.,70+,Is there anything else you'd like to share about the food & beverage served on your flight from [CITY] to [CITY]?,premier silver,B737-800,Mainline,member,Neutral,offer frequent
5899,2298,EWX,LAX,2022-09-12,Early & Ontime,Delayed,Domestic,No.,90+,Is there anything else you'd like to share about the food & beverage served on your flight from [CITY] to [CITY]?,,B737-MAX8,Mainline,non-member,Neutral,
5900,5354,IAX,SAX,2022-09-12,Early & Ontime,Early & Ontime,Domestic,Prices.,90+,Is there anything else you'd like to share about the food & beverage served on your flight from [CITY] to [CITY]?,,ERJ-175,Express,non-member,Neutral,price
5901,352,DCX,SFX,2022-09-11,Early & Ontime,Early & Ontime,Domestic,I had my own water and snacks.,90+,Is there anything else you'd like to share about the food & beverage served on your flight from [CITY] to [CITY]?,premier gold,B737-800,Mainline,member,Neutral,water snack
5902,349,OGX,ORX,2022-09-12,Early & Ontime,Early & Ontime,Domestic,It was exceptional.,70+,Is there anything else you'd like to share about the food & beverage served on your flight from [CITY] to [CITY]?,,B787-8,Mainline,non-member,Neutral,except
5903,243,PDX,SFX,2022-09-11,Early & Ontime,Early & Ontime,Domestic,Request for vegan food to UAL was ign.,90+,Is there anything else you'd like to share about the food & beverage served on your flight from [CITY] to [CITY]?,,B737-800,Mainline,non-member,Neutral,request vegan food ual ign
5904,2216,EWX,LAX,2022-09-12,Delayed,Delayed,Domestic,There were no Swoopwaffles offered. Snacks were extremely limited and very small.,90+,Is there anything else you'd like to share about the food & beverage served on your flight from [CITY] to [CITY]?,non-elite,B777-200,Mainline,member,Neutral,swoopwaffl offer snack extrem limit small
5905,1610,DFX,IAX,2022-09-13,Early & Ontime,Early & Ontime,Domestic,Breakfast amount was precarious. Dinner excellent.,70+,Is there anything else you'd like to share about the food & beverage served on your flight from [CITY] to [CITY]?,non-elite,A320-200,Mainline,member,Neutral,breakfast amount precari dinner excel
5906,956,TLX,SFX,2022-09-13,Early & Ontime,Early & Ontime,Atlantic,I really appreciate the effort made to provide a tasty gluten-free meal.,90+,Is there anything else you'd like to share about the food & beverage served on your flight from [CITY] to [CITY]?,premier silver,B777-200,Mainline,member,Neutral,realli appreci effort made provid tasti meal
5907,991,SFX,CDX,2022-09-13,Early & Ontime,Early & Ontime,Atlantic,"The dessert was a custard tart and it was incredible!. Like someone french had prepared it [dessert]!!!. HOWEVER.. the BREAKFAST WAS HORRIBLE. It was the eggs with sausages that had hard inedible things in it. so I stopped eating after 2 bites of the sausage. And there was some bready thing on the plate with a tomatoey concoction on top of it... disgusting actually. The teeny croissant was worse than any croissant could be. So, in contrast to the chicken with the incredibly tasty sauce, the breakfast was abhorrent. Too bad, because I had no opportunity to eat after breakfast for quite some time.",80+,Is there anything else you'd like to share about the food & beverage served on your flight from [CITY] to [CITY]?,non-elite,B777-200,Mainline,member,Neutral,dessert custard tart incred like someon french prepar dessert howev breakfast horribl egg sausag hard ined thing stop eat 2 bite sausag breadi thing plate tomatoey concoct top disgust actual teeni croissant wors croissant could contrast chicken incred tasti sauc breakfast abhorr bad opportun eat breakfast quit time
5908,991,SFX,CDX,2022-09-13,Early & Ontime,Early & Ontime,Atlantic,The taste could be improved.,80+,Is there anything else you'd like to share about the food & beverage served on your flight from [CITY] to [CITY]?,,B777-200,Mainline,non-member,Neutral,tast could improv
5909,792,BZX,ORX,2022-09-13,Early & Ontime,Early & Ontime,Domestic,Please provide gluten free options.,90+,Is there anything else you'd like to share about the food & beverage served on your flight from [CITY] to [CITY]?,premier platinum,A320-200,Mainline,member,Neutral,pleas provid gluten free option
5910,3437,EWX,AVX,2022-09-13,Delayed,Delayed,Domestic,no.,90+,Is there anything else you'd like to share about the food & beverage served on your flight from [CITY] to [CITY]?,,ERJ-175,Express,non-member,Neutral,
5911,1599,PWX,ORX,2022-09-13,Early & Ontime,Early & Ontime,Domestic,Everything was just right!.,90+,Is there anything else you'd like to share about the food & beverage served on your flight from [CITY] to [CITY]?,,A319-100,Mainline,non-member,Neutral,everyth right
5912,666,STX,EWX,2022-09-13,Delayed,Delayed,Latin,Should have better quality of food...,90+,Is there anything else you'd like to share about the food & beverage served on your flight from [CITY] to [CITY]?,non-elite,B737-900,Mainline,member,Neutral,better qualiti food
5913,1780,ORX,MDX,2022-09-12,Early & Ontime,Early & Ontime,Domestic,"a small bag of pretzels would have been appreciated, especially since I sat in row 7 and first class got all the snacks they wanted and were offered several times.",90+,Is there anything else you'd like to share about the food & beverage served on your flight from [CITY] to [CITY]?,,A319-100,Mainline,non-member,Neutral,small bag pretzel would appreci especi sinc sat row 7 first class got snack want offer sever time
5914,3440,EWX,EYX,2022-09-11,Early & Ontime,Early & Ontime,Domestic,Top notch service.,80+,Is there anything else you'd like to share about the food & beverage served on your flight from [CITY] to [CITY]?,,ERJ-170,Express,non-member,Neutral,top notch servic
5915,3473,IAX,INX,2022-09-13,Early & Ontime,Early & Ontime,Domestic,Would be great if the service included a small snack offering even if it is just a cracker or cookie.,80+,Is there anything else you'd like to share about the food & beverage served on your flight from [CITY] to [CITY]?,,ERJ-170,Express,non-member,Neutral,would great servic includ small snack offer even cracker cooki
5916,5603,ORX,ICX,2022-09-14,Early & Ontime,Early & Ontime,Domestic,I was given a caramel waffle as a snack. It was tasty!.,90+,Is there anything else you'd like to share about the food & beverage served on your flight from [CITY] to [CITY]?,,CRJ-200,Express,non-member,Neutral,given caramel waffl snack tasti
5917,1729,SFX,CLX,2022-09-13,Early & Ontime,Early & Ontime,Domestic,White wine was nasty. Not very good. Fruit place was supposed to have a chocolate candy but did not. Pictured showed it with candy.,90+,Is there anything else you'd like to share about the food & beverage served on your flight from [CITY] to [CITY]?,premier silver,B737-MAX8,Mainline,member,Neutral,white wine nasti good fruit place suppos chocol candi pictur show candi
5918,1729,SFX,CLX,2022-09-13,Early & Ontime,Early & Ontime,Domestic,I like the addition of the AHA sparkling water.,90+,Is there anything else you'd like to share about the food & beverage served on your flight from [CITY] to [CITY]?,non-elite,B737-MAX8,Mainline,member,Neutral,like addit aha sparkl water
5919,1997,ORX,ATX,2022-09-14,Early & Ontime,Early & Ontime,Domestic,It would have been nice to have a small snack. Such as pretzels.,90+,Is there anything else you'd like to share about the food & beverage served on your flight from [CITY] to [CITY]?,non-elite,A319-100,Mainline,member,Neutral,would nice small snack pretzel
5920,952,BRX,IAX,2022-09-14,Early & Ontime,Early & Ontime,Atlantic,"The “pre-arrival snack” in business class was awesome!. Cheeseburger, fruit, and a brownie. Simple and tasty!. We do not need quinoa or couscous…. just real/normal food like this. Very nice.",0 to 70,Is there anything else you'd like to share about the food & beverage served on your flight from [CITY] to [CITY]?,premier 1k,B777-300,Mainline,member,Neutral,snack busi class awesom cheeseburg fruit browni simpl tasti need quinoa food like nice
5921,6177,QRX,IAX,2022-09-13,Early & Ontime,Early & Ontime,Latin,"Yes like a Premier 1K, the flight attendents did not offer me mi complementary food and beverage.",90+,Is there anything else you'd like to share about the food & beverage served on your flight from [CITY] to [CITY]?,premier 1k,ERJ-175,Express,member,Neutral,ye like premier 1k flight attend offer mi complementari food beverag
5922,2128,DEX,ATX,2022-09-14,Early & Ontime,Early & Ontime,Domestic,N/A.,90+,Is there anything else you'd like to share about the food & beverage served on your flight from [CITY] to [CITY]?,,B737-900,Mainline,non-member,Neutral,
5923,582,DEX,INX,2022-09-14,Delayed,Early & Ontime,Domestic,Should be able to get at least two varieties.,90+,Is there anything else you'd like to share about the food & beverage served on your flight from [CITY] to [CITY]?,non-elite,B737-900,Mainline,member,Neutral,abl get least two varieti
5924,1511,IAX,PHX,2022-09-12,Delayed,Delayed,Domestic,It was a bit confusing about ordering in the flight vs online beforehand.,80+,Is there anything else you'd like to share about the food & beverage served on your flight from [CITY] to [CITY]?,,B737-MAX9,Mainline,non-member,Neutral,bit confus order flight vs onlin beforehand
5925,1631,SEX,DEX,2022-09-15,Early & Ontime,Early & Ontime,Domestic,"Yes, enjoyed the pre-flight drink of mimosa.",90+,Is there anything else you'd like to share about the food & beverage served on your flight from [CITY] to [CITY]?,premier silver,B737-900,Mainline,member,Neutral,ye enjoy drink mimosa
5926,475,MEX,ORX,2022-09-14,Early & Ontime,Early & Ontime,Latin,No.,80+,Is there anything else you'd like to share about the food & beverage served on your flight from [CITY] to [CITY]?,non-elite,A319-100,Mainline,member,Neutral,
5927,1288,SFX,BOX,2022-09-13,Early & Ontime,Early & Ontime,Domestic,All good.,0 to 70,Is there anything else you'd like to share about the food & beverage served on your flight from [CITY] to [CITY]?,,B737-MAX9,Mainline,non-member,Neutral,good
5928,3573,EWX,YYX,2022-09-15,Delayed,Delayed,Domestic,They did not offer any beverages. there was no turbulence. Awful as we had been delayed over an hour.,80+,Is there anything else you'd like to share about the food & beverage served on your flight from [CITY] to [CITY]?,premier silver,ERJ-170,Express,member,Neutral,offer beverag turbul aw delay hour
5929,21,IAX,AMX,2022-09-15,Delayed,Delayed,Atlantic,Bad food.,90+,Is there anything else you'd like to share about the food & beverage served on your flight from [CITY] to [CITY]?,,B777-200,Mainline,non-member,Neutral,bad food
5930,1237,EWX,PHX,2022-09-15,Early & Ontime,Early & Ontime,Domestic,I had asked for pretzels or a snack. the flight attendant told only certain things are available for purchase and walked away.,90+,Is there anything else you'd like to share about the food & beverage served on your flight from [CITY] to [CITY]?,premier platinum,B737-MAX8,Mainline,member,Neutral,ask pretzel snack flight attend told certain thing avail purchas walk away
5931,2643,ORX,EWX,2022-09-15,Delayed,Delayed,Domestic,Flight attendant asked me if I wanted another when she saw I was empty. That is service!!.,80+,Is there anything else you'd like to share about the food & beverage served on your flight from [CITY] to [CITY]?,non-elite,B737-900,Mainline,member,Neutral,flight attend ask want anoth saw empti servic
5932,1759,DEX,KOX,2022-09-16,Delayed,Early & Ontime,Domestic,I really wish Mai Tai's were boarded for flights to Hawaii. That used to be a great part of the experience. Wish there were more options geared towards providing a Hawaiian style experience.,90+,Is there anything else you'd like to share about the food & beverage served on your flight from [CITY] to [CITY]?,premier 1k,B757-200,Mainline,member,Neutral,realli wish mai tai board flight hawaii use great part experi wish option gear toward provid hawaiian style experi
5933,1759,DEX,KOX,2022-09-16,Delayed,Early & Ontime,Domestic,"I tried to select my meal online, 5 days before the flight and just 30 minutes after I received the email notice about advance selection. It said that everything other than the vegetarian option were no longer available. That makes no sense at all. So as a business class flyer, I had to buy a sandwich at the airport to carry aboard. That just am not right.",90+,Is there anything else you'd like to share about the food & beverage served on your flight from [CITY] to [CITY]?,premier platinum,B757-200,Mainline,member,Neutral,tri select meal onlin 5 day flight 30 minut receiv email notic advanc select said everyth vegetarian option longer avail make sens busi class flyer buy sandwich airport carri aboard right
5934,45,SFX,ZRX,2022-09-16,Delayed,Delayed,Atlantic,"Often, there was no choice to pick from for the passengers seated in the back seats of the plane.",90+,Is there anything else you'd like to share about the food & beverage served on your flight from [CITY] to [CITY]?,,B777-200,Mainline,non-member,Neutral,often choic pick passeng seat back seat plane
5935,3875,ORX,DAX,2022-09-15,Early & Ontime,Early & Ontime,Domestic,Only offered water.,90+,Is there anything else you'd like to share about the food & beverage served on your flight from [CITY] to [CITY]?,,CRJ-200,Express,non-member,Neutral,offer water
5936,1220,LAX,OGX,2022-09-15,Early & Ontime,Early & Ontime,Domestic,I like the flavored seltzer water choices.,80+,Is there anything else you'd like to share about the food & beverage served on your flight from [CITY] to [CITY]?,premier 1k,B737-MAX9,Mainline,member,Neutral,like flavor seltzer water choic
5937,2,SFX,SIX,2022-09-16,Early & Ontime,Delayed,Pacific,Need more food on UA 1 & UA 2 flights… two meals and one snack is highly inadequate for a 15hr+ flight.,90+,Is there anything else you'd like to share about the food & beverage served on your flight from [CITY] to [CITY]?,premier platinum,B787-9,Mainline,member,Neutral,need food ua 1 ua 2 two meal one snack highli inadequ flight
5938,1420,CLX,FLX,2022-09-16,Early & Ontime,Early & Ontime,Domestic,Breakfast was offered on the 8:00 AM flight and both choices offered were great.,80+,Is there anything else you'd like to share about the food & beverage served on your flight from [CITY] to [CITY]?,,B737-800,Mainline,non-member,Neutral,breakfast offer flight choic offer great
5939,1420,CLX,FLX,2022-09-16,Early & Ontime,Early & Ontime,Domestic,NO.,80+,Is there anything else you'd like to share about the food & beverage served on your flight from [CITY] to [CITY]?,,B737-800,Mainline,non-member,Neutral,
5940,1567,IAX,MEX,2022-09-16,Early & Ontime,Delayed,Latin,quality could be better of the meal.,0 to 70,Is there anything else you'd like to share about the food & beverage served on your flight from [CITY] to [CITY]?,,A320-200,Mainline,non-member,Neutral,qualiti could better meal
5941,220,ORX,HNX,2022-09-17,Early & Ontime,Delayed,Domestic,Should have better food service for such a long flight.,90+,Is there anything else you'd like to share about the food & beverage served on your flight from [CITY] to [CITY]?,premier gold,B787-10,Mainline,member,Neutral,better food servic long flight
5942,220,ORX,HNX,2022-09-17,Early & Ontime,Delayed,Domestic,Tasted great. Best airline food I have had in a long time.,90+,Is there anything else you'd like to share about the food & beverage served on your flight from [CITY] to [CITY]?,premier silver,B787-10,Mainline,member,Neutral,tast great best airlin food long time
5943,202,HNX,GUX,2022-09-17,Early & Ontime,Early & Ontime,Pacific,Our meal was not that great. Too cold.,90+,Is there anything else you'd like to share about the food & beverage served on your flight from [CITY] to [CITY]?,non-elite,B777-300,Mainline,member,Neutral,meal great cold
5944,202,HNX,GUX,2022-09-17,Early & Ontime,Early & Ontime,Pacific,The tomato did not look good.,90+,Is there anything else you'd like to share about the food & beverage served on your flight from [CITY] to [CITY]?,premier platinum,B777-300,Mainline,member,Neutral,tomato look good
5945,1839,MEX,IAX,2022-09-17,Early & Ontime,Early & Ontime,Latin,Todo bien.,90+,Is there anything else you'd like to share about the food & beverage served on your flight from [CITY] to [CITY]?,,A319-100,Mainline,non-member,Neutral,todo bien
5946,942,LHX,EWX,2022-09-17,Early & Ontime,Early & Ontime,Atlantic,No.,70+,Is there anything else you'd like to share about the food & beverage served on your flight from [CITY] to [CITY]?,non-elite,B767-300,Mainline,member,Neutral,
5947,1661,IAX,SAX,2022-09-17,Early & Ontime,Early & Ontime,Domestic,"The tea is brewed in pots that have previously been used for coffee and you can clearly taste it - in a word, gross.",90+,Is there anything else you'd like to share about the food & beverage served on your flight from [CITY] to [CITY]?,premier platinum,B737-700,Mainline,member,Neutral,tea brew pot previous use coffe clearli tast word gross
5948,384,HNX,DEX,2022-09-17,Early & Ontime,Delayed,Domestic,"They served the meal right away, so we could sleep (it was a redeye flight).",90+,Is there anything else you'd like to share about the food & beverage served on your flight from [CITY] to [CITY]?,non-elite,B777-200,Mainline,member,Neutral,serv meal right away could sleep redey flight
5949,2486,ORX,DEX,2022-09-16,Early & Ontime,Early & Ontime,Domestic,please bring back tito's vodka and illy coffee... the coffee is horrible now and the vodka cheap !!. you can do better !. thank you.,90+,Is there anything else you'd like to share about the food & beverage served on your flight from [CITY] to [CITY]?,premier silver,B757-300,Mainline,member,Neutral,pleas bring back tito vodka illi coffe coffe horribl vodka cheap better thank
5950,2675,EWX,LAX,2022-09-17,Delayed,Delayed,Domestic,Same snacks all the time. I flew May July August and Sept and same snacks.,90+,Is there anything else you'd like to share about the food & beverage served on your flight from [CITY] to [CITY]?,non-elite,B757-200,Mainline,member,Neutral,snack time flew may juli august sept snack
5951,2675,EWX,LAX,2022-09-17,Delayed,Delayed,Domestic,"I would think on a long flight of 5 hours or more, United would provide a FREE meal. We flew from Venice to Newark on United and received a FREE dinner and FREE sandwich & snack. So, why on our flight from Newark to Los Angles, we only got a wafer?.",90+,Is there anything else you'd like to share about the food & beverage served on your flight from [CITY] to [CITY]?,non-elite,B757-200,Mainline,member,Neutral,would think long flight 5 hour unit would provid free meal flew venic newark unit receiv free dinner free sandwich snack flight newark lo angl got wafer
5952,4673,DEX,CPX,2022-09-17,Delayed,Delayed,Domestic,No food or beverage service. It would be nice to be offered little water bottles at least.,0 to 70,Is there anything else you'd like to share about the food & beverage served on your flight from [CITY] to [CITY]?,non-elite,CRJ-200,Express,member,Neutral,food beverag servic would nice offer littl water bottl least
5953,3527,BDX,ORX,2022-09-15,Early & Ontime,Early & Ontime,Domestic,"WiFi was not letting anyone use CC on file. Forced to use miles, which I would rather not have done.",90+,Is there anything else you'd like to share about the food & beverage served on your flight from [CITY] to [CITY]?,premier silver,ERJ-170,Express,member,Neutral,wifi let anyon use cc file forc use mile would rather done
5954,1935,LAX,DEX,2022-09-17,Early & Ontime,Delayed,Domestic,N/A.,90+,Is there anything else you'd like to share about the food & beverage served on your flight from [CITY] to [CITY]?,,B737-MAX9,Mainline,non-member,Neutral,
5955,1666,SFX,BOX,2022-09-17,Early & Ontime,Early & Ontime,Domestic,The purchase option especially for vegetarians like me is almost non-existent.,90+,Is there anything else you'd like to share about the food & beverage served on your flight from [CITY] to [CITY]?,,B737-MAX9,Mainline,non-member,Neutral,purchas option especi vegetarian like almost
5956,1421,FLX,IAX,2022-09-17,Delayed,Delayed,Domestic,"the food choice was limited to chicken and vegi meatballs, so not really a choice. The chicken dish was ok, however, it was a repeat dish from my flight earlier in the week, so sad to have the same meal again. Fruit was ok, but would have preferred a salad. Dessert was the warm cookie/muffin thing, while it tasted good, also very small.",90+,Is there anything else you'd like to share about the food & beverage served on your flight from [CITY] to [CITY]?,premier platinum,B737-900,Mainline,member,Neutral,food choic limit chicken vegi meatbal realli choic chicken dish ok howev repeat dish flight earlier week sad meal fruit ok would prefer salad dessert warm thing tast good also small
5957,991,SFX,CDX,2022-09-17,Delayed,Delayed,Atlantic,"Hot chocolate and other brands of beer, only one was available that was a light beer. I wish I could have more food on board.",90+,Is there anything else you'd like to share about the food & beverage served on your flight from [CITY] to [CITY]?,,B777-200,Mainline,non-member,Neutral,hot chocol brand beer one avail light beer wish could food board
5958,5148,CNX,DEX,2022-09-14,Delayed,Delayed,Domestic,None provided.,70+,Is there anything else you'd like to share about the food & beverage served on your flight from [CITY] to [CITY]?,,CRJ-200,Express,non-member,Neutral,none provid
5959,422,IAX,SAX,2022-09-18,Early & Ontime,Early & Ontime,Domestic,Who no beverages served before take off?.,90+,Is there anything else you'd like to share about the food & beverage served on your flight from [CITY] to [CITY]?,premier silver,B737-900,Mainline,member,Neutral,beverag serv take
5960,423,DEX,BOX,2022-09-18,Early & Ontime,Delayed,Domestic,No.,80+,Is there anything else you'd like to share about the food & beverage served on your flight from [CITY] to [CITY]?,non-elite,B737-MAX9,Mainline,member,Neutral,
5961,58,EWX,CDX,2022-09-18,Delayed,Delayed,Atlantic,I enjoyed the complimentary Stella beer.,90+,Is there anything else you'd like to share about the food & beverage served on your flight from [CITY] to [CITY]?,non-elite,B777-300,Mainline,member,Neutral,enjoy complimentari stella beer
5962,2385,LAX,IAX,2022-09-18,Early & Ontime,Early & Ontime,Domestic,All was great.,90+,Is there anything else you'd like to share about the food & beverage served on your flight from [CITY] to [CITY]?,premier gold,B737-900,Mainline,member,Neutral,great
5963,1464,IAX,BOX,2022-09-18,Early & Ontime,Early & Ontime,Domestic,"On my business class flight to boston, i did not receive a snack, even though I requested one.",90+,Is there anything else you'd like to share about the food & beverage served on your flight from [CITY] to [CITY]?,non-elite,B737-MAX9,Mainline,member,Neutral,busi class flight boston receiv snack even though request one
5964,2290,ORX,PDX,2022-09-18,Delayed,Delayed,Domestic,Please change your offerings more often. I have not flown in 6 months and still the options were the same.,70+,Is there anything else you'd like to share about the food & beverage served on your flight from [CITY] to [CITY]?,premier gold,B737-MAX9,Mainline,member,Neutral,pleas chang offer often flown 6 month still option
5965,3515,PWX,EWX,2022-09-17,Early & Ontime,Early & Ontime,Domestic,Flight was not long enough.,80+,Is there anything else you'd like to share about the food & beverage served on your flight from [CITY] to [CITY]?,,ERJ-175,Express,non-member,Neutral,flight long enough
5966,116,SFX,PPX,2022-09-18,Delayed,Delayed,Pacific,I was surprised that on a long haul business class product there was no wine list printed on the menu. It really enhances the experience when you provide a description of tasting notes and origin and wineries the wine comes from. It is not helpful when you ask a flight attendant about the wines onboard and they know nothing about them. All they know is “red or white?”. And when you ask about a white option all the can say is “I think one is a Chardonnay and one is a Sauvignon”.,90+,Is there anything else you'd like to share about the food & beverage served on your flight from [CITY] to [CITY]?,,B787-9,Mainline,non-member,Neutral,surpris long haul busi class product wine list print menu realli enhanc experi provid descript tast note origin wineri wine come help ask flight attend wine onboard know noth know red white ask white option say think one chardonnay one sauvignon
5967,4910,HSX,IAX,2022-09-16,Delayed,Early & Ontime,Domestic,None consumed. No problem.,90+,Is there anything else you'd like to share about the food & beverage served on your flight from [CITY] to [CITY]?,non-elite,ERJ-145,Express,member,Neutral,none consum problem
